,index,carat,cut,color,clarity,depth,table,price,x,y,z
0,1388,0.24,Ideal,G,VVS1,62.1,56.0,559,3.97,4.0,2.47
1,50052,0.58,Very Good,F,VVS2,60.0,57.0,2201,5.44,5.42,3.26
2,41645,0.4,Ideal,E,VVS2,62.1,55.0,1238,4.76,4.74,2.95
3,42377,0.43,Premium,E,VVS2,60.8,57.0,1304,4.92,4.89,2.98
4,17244,1.55,Ideal,E,SI2,62.3,55.0,6901,7.44,7.37,4.61
5,1608,1.0,Fair,E,SI2,55.4,62.0,3011,6.63,6.59,3.66
6,46398,0.51,Ideal,F,VS1,60.2,56.0,1765,5.22,5.24,3.15
7,45493,0.52,Ideal,D,VS2,62.0,56.0,1679,5.17,5.19,3.21
8,49385,0.62,Premium,E,VS2,60.0,59.0,2102,5.58,5.56,3.34
9,10460,1.14,Ideal,H,SI1,60.3,57.0,4789,6.79,6.85,4.11
10,34243,0.4,Ideal,D,SI2,62.8,56.0,855,4.73,4.7,2.96
11,24772,1.83,Very Good,E,SI2,62.8,56.0,13134,7.76,7.82,4.89
12,42987,0.6,Fair,F,SI1,55.3,63.0,1367,5.67,5.61,3.12
13,51711,0.7,Very Good,F,SI1,63.5,56.0,2401,5.58,5.66,3.57
14,43777,0.53,Good,H,IF,61.2,65.0,1440,5.16,5.27,3.19
15,22232,1.55,Ideal,I,VS1,61.2,55.0,10286,7.49,7.47,4.58
16,1319,0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
17,43219,0.4,Ideal,E,VVS1,62.6,56.0,1397,4.73,4.7,2.95
18,21843,1.5,Very Good,F,SI1,62.8,56.0,9904,7.26,7.33,4.58
19,53626,0.35,Very Good,I,VS1,60.7,62.0,552,4.53,4.59,2.77
20,27497,2.07,Premium,I,VS2,61.2,58.0,18193,8.18,8.2,5.01
21,36554,0.4,Premium,E,SI1,60.9,60.0,945,4.77,4.75,2.9
22,21055,0.31,Ideal,F,VS2,61.9,55.0,625,4.31,4.35,2.68
23,23028,0.3,Ideal,H,VVS2,61.7,54.2,631,4.32,4.35,2.67
24,5536,0.91,Ideal,H,SI2,60.6,57.0,3854,6.3,6.26,3.81
25,43434,0.53,Ideal,E,SI1,61.4,56.0,1415,5.21,5.24,3.21
26,38522,0.34,Ideal,E,VS1,60.8,57.0,1033,4.53,4.49,2.74
27,24964,2.02,Ideal,F,SI2,62.7,57.0,13453,8.07,7.93,5.03
28,19771,1.04,Ideal,D,VS1,59.1,56.0,8341,6.65,6.59,3.91
29,40271,0.23,Ideal,F,VS2,61.8,55.0,493,3.93,3.96,2.43
30,8473,1.01,Ideal,F,SI2,62.5,55.0,4416,6.39,6.4,4.0
31,43496,0.54,Premium,E,SI1,61.4,60.0,1422,5.21,5.25,3.21
32,23558,2.01,Very Good,J,SI1,63.4,57.0,11566,7.97,7.89,5.03
33,46750,0.51,Good,G,VVS2,63.3,58.0,1800,5.04,5.07,3.2
